Name,Rating,Reviews,Type,Employe,Sector,Old
TCS,3.8,74.2k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Accenture,4.0,47k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Cognizant,3.9,42.4k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Wipro,3.8,39.9k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Capgemini,3.9,34.5k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
HDFC Bank,4.0,34.3k,Banking,1 Lakh+ Employees,Public,30 years old
ICICI Bank,4.0,33.9k,Banking,1 Lakh+ Employees,Public,30 years old
Infosys,3.8,32.3k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
HCLTech,3.7,29k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Tech Mahindra,3.7,28k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Genpact,3.9,26.6k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Axis Bank,3.9,22.3k,Banking,50k-1 Lakh Employees,Public,31 years old
Teleperformance,3.6,22.3k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Concentrix Corporation,3.9,22.1k,BPO,50k-1 Lakh Employees,Public,41 years old
Jio,4.0,20.8k,Telecom,50k-1 Lakh Employees,Public,17 years old
Amazon,4.1,20.8k,Internet,1 Lakh+ Employees,Public,30 years old
IBM,4.1,19.9k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Reliance Retail,4.0,19.1k,Retail,1 Lakh+ Employees,NaN,NaN
HDB Financial Services,4.0,18.4k,NBFC,1 Lakh+ Employees,NaN,NaN
Larsen & Toubro Limited,4.1,16.8k,Engineering & Construction,10k-50k Employees,Public,86 years old
Vodafone Idea,4.2,15.5k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
BYJU'S,3.1,14.8k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Kotak Mahindra Bank,3.9,14.5k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Deloitte,3.9,14.1k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Reliance Industries,4.1,13.8k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
iEnergizer,4.7,14k,Banking,1 Lakh+ Employees,Public,30 years old
Bharti Airtel,4.1,12.4k,Banking,1 Lakh+ Employees,Public,30 years old
Tata Motors,4.2,10.6k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
WNS,3.5,9.8k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Flipkart,4.1,9.4k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
IndusInd Bank,3.7,9.3k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Ernst & Young,3.6,9.1k,Banking,50k-1 Lakh Employees,Public,31 years old
AU Small Finance Bank,4.5,8.8k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Mahindra & Mahindra,4.2,8.8k,BPO,50k-1 Lakh Employees,Public,41 years old
Infosys BPM,3.8,8.5k,Telecom,50k-1 Lakh Employees,Public,17 years old
DXC Technology,3.8,8.4k,Internet,1 Lakh+ Employees,Public,30 years old
IDFC FIRST Bank,4.0,8.3k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Conneqt Business Solutions,3.7,7.9k,Retail,1 Lakh+ Employees,NaN,NaN
LTIMindtree,3.7,7.9k,NBFC,1 Lakh+ Employees,NaN,NaN
HDFC Life,4.1,7.8k,Engineering & Construction,10k-50k Employees,Public,86 years old
Bajaj Finserv,4.1,7.7k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Mphasis,3.5,7.1k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
PwC,3.6,7.1k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
HSBC Group,4.1,6.9k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Startek,3.3,6.8k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Hinduja Global Solutions,4.0,6.8k,Banking,1 Lakh+ Employees,Public,30 years old
Samsung,4.1,6.7k,Banking,1 Lakh+ Employees,Public,30 years old
Ericsson,4.3,6.7k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Maruti Suzuki,4.3,6.6k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Shriram Finance,4.1,6.5k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Yes Bank,3.9,6.5k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Asian Paints,4.1,6.4k,Banking,50k-1 Lakh Employees,Public,31 years old
Cipla,4.1,6.2k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Dr. Reddy's,4.2,6.1k,BPO,50k-1 Lakh Employees,Public,41 years old
Sutherland Global Services,3.7,6.1k,Telecom,50k-1 Lakh Employees,Public,17 years old
Paytm,3.5,6.1k,Internet,1 Lakh+ Employees,Public,30 years old
Bandhan Bank,3.8,6.1k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
UltraTech Cement,4.2,6k,Retail,1 Lakh+ Employees,NaN,NaN
EXL Service,3.8,6k,NBFC,1 Lakh+ Employees,NaN,NaN
NTT DATA,4.0,5.9k,Engineering & Construction,10k-50k Employees,Public,86 years old
ICICI Prudential Life Insurance,4.1,5.7k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Bajaj Finance,4.1,5.7k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Jana Small Finance Bank,3.9,5.6k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Lupin,4.1,5.5k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Indian Army,4.7,5.4k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
HCL Group,3.8,5.4k,Banking,1 Lakh+ Employees,Public,30 years old
Quess,4.0,5.4k,Banking,1 Lakh+ Employees,Public,30 years old
Tata Steel,4.2,5.3k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
L&T Infotech,3.8,5.3k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Wells Fargo,4.1,5.3k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Zydus Lifesciences,4.1,5.2k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Delhivery,4.0,5.2k,Banking,50k-1 Lakh Employees,Public,31 years old
Amazon Development Centre India,4.2,5.2k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
L&T Construction,4.1,5.1k,BPO,50k-1 Lakh Employees,Public,41 years old
JPMorgan Chase & Co.,4.1,5.1k,Telecom,50k-1 Lakh Employees,Public,17 years old
Sun Pharmaceutical Industries,4.2,5k,Internet,1 Lakh+ Employees,Public,30 years old
Hindustan Unilever,4.3,5k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
FIS,3.9,5k,Retail,1 Lakh+ Employees,NaN,NaN
ITC,4.0,4.9k,NBFC,1 Lakh+ Employees,NaN,NaN
Udaan,4.0,4.8k,Engineering & Construction,10k-50k Employees,Public,86 years old
Hexaware Technologies,3.7,4.8k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
IIFL Finance,4.0,4.8k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
JSW Steel,4.0,4.8k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Ujjivan Small Finance Bank,4.1,4.6k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Muthoot Finance,3.6,4.5k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Max Life Insurance,4.2,4.5k,Banking,1 Lakh+ Employees,Public,30 years old
Tata Projects,4.3,4.4k,Banking,1 Lakh+ Employees,Public,30 years old
Aurobindo Pharma,4.0,4.4k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
KPMG India,3.6,4.5k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Shapoorji Pallonji Group,4.2,4.4k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Oracle,3.8,4.4k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Home Credit Finance,4.1,4.4k,Banking,50k-1 Lakh Employees,Public,31 years old
eClerx,3.5,4.3k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Apollo Hospitals,4.1,4.3k,BPO,50k-1 Lakh Employees,Public,41 years old
Ashok Leyland,4.1,4.3k,Telecom,50k-1 Lakh Employees,Public,17 years old
Omega Healthcare,3.8,4.3k,Internet,1 Lakh+ Employees,Public,30 years old
Siemens,4.2,4.2k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
JLL,4.2,4.2k,Retail,1 Lakh+ Employees,NaN,NaN
Megha Engineering & Infrastructures,4.0,4.2k,NBFC,1 Lakh+ Employees,NaN,NaN
Vivo,4.1,4.2k,Engineering & Construction,10k-50k Employees,Public,86 years old
First Source,3.8,4.1k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
JustDial,3.6,4.1k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Bajaj Allianz Life Insurance,4.1,4.1k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Hero MotoCorp,4.2,4k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
OPPO,4.0,4k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Mahindra Finance,4.3,4k,Banking,1 Lakh+ Employees,Public,30 years old
DMart,4.0,4k,Banking,1 Lakh+ Employees,Public,30 years old
Standard Chartered,3.9,3.9k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Coforge,3.5,3.9k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Cyient,3.8,3.9k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
BigBasket,4.0,3.9k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
ICICI Lombard General Insurance Company,3.8,3.9k,Banking,50k-1 Lakh Employees,Public,31 years old
Indiamart Intermesh,3.6,3.9k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
CGI Group,4.1,3.9k,BPO,50k-1 Lakh Employees,Public,41 years old
Virtusa Consulting Services,3.8,3.9k,Telecom,50k-1 Lakh Employees,Public,17 years old
Equitas Small Finance Bank,4.4,3.7k,Internet,1 Lakh+ Employees,Public,30 years old
TVS Motor,4.1,3.7k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Manappuram Finance,4.0,3.7k,Retail,1 Lakh+ Employees,NaN,NaN
Ekart Logistics,4.1,3.7k,NBFC,1 Lakh+ Employees,NaN,NaN
GlobalLogic,3.7,3.7k,Engineering & Construction,10k-50k Employees,Public,86 years old
UST,3.9,3.7k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
SBI Cards & Payment Services,3.8,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Hewlett Packard Enterprise,4.3,3.6k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Atos Syntel,3.6,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Bosch Global Software Technologies,4.1,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
IQVIA,4.1,3.6k,Banking,1 Lakh+ Employees,Public,30 years old
Nagarro,4.1,3.6k,Banking,1 Lakh+ Employees,Public,30 years old
Cholamandalam Investment & Finance,4.1,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
SMFG India Credit,4.1,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Bosch,4.3,3.6k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Reliance Communications,4.0,3.5k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
BNY Mellon,4.0,3.5k,Banking,50k-1 Lakh Employees,Public,31 years old
L&T Technology Services,3.4,3.5k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Schneider Electric,4.2,3.5k,BPO,50k-1 Lakh Employees,Public,41 years old
Hyundai Motor,4.4,3.5k,Telecom,50k-1 Lakh Employees,Public,17 years old
Amdocs,4.0,3.4k,Internet,1 Lakh+ Employees,Public,30 years old
Oyo Rooms,3.4,3.4k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Swiggy,3.9,3.4k,Retail,1 Lakh+ Employees,NaN,NaN
CBRE,4.3,3.4k,NBFC,1 Lakh+ Employees,NaN,NaN
State Bank of India,3.9,3.4k,Engineering & Construction,10k-50k Employees,Public,86 years old
JBM Group,4.0,3.4k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
BT Group,4.1,3.4k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
SBI Life Insurance Company,3.9,3.3k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Optum,4.0,3.3k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Ecom Express,4.1,3.3k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Nagarjuna Construction Company,4.2,3.3k,Banking,1 Lakh+ Employees,Public,30 years old
Dell,4.2,3.3k,Banking,1 Lakh+ Employees,Public,30 years old
Bajaj Auto,3.9,3.3k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
KEC International,4.1,3.2k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Future Group,4.3,3.2k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Piramal Capital Housing Finance,4.2,3.2k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Aditya Birla Fashion and Retail,4.2,3.2k,Banking,50k-1 Lakh Employees,Public,31 years old
Muthoot Fincorp,4.1,3.2k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Royal Enfield,4.3,3.1k,BPO,50k-1 Lakh Employees,Public,41 years old
L&T Finance,4.0,3.1k,Telecom,50k-1 Lakh Employees,Public,17 years old
Viatris,4.3,3k,Internet,1 Lakh+ Employees,Public,30 years old
Tata Communications,4.2,3k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Samvardhana Motherson Group,3.8,3k,Retail,1 Lakh+ Employees,NaN,NaN
LG Electronics,4.1,3k,NBFC,1 Lakh+ Employees,NaN,NaN
Intas Pharmaceuticals,4.2,3k,Engineering & Construction,10k-50k Employees,Public,86 years old
John Deere,4.3,3k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Varun Beverages,4.1,3k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Kogta Financial India Limited,4.8,3k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Persistent Systems,3.8,3k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Godrej & Boyce Manufacturing,3.9,2.9k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Randstad,3.9,2.9k,Banking,1 Lakh+ Employees,Public,30 years old
Thermax Limited,4.2,2.9k,Banking,1 Lakh+ Employees,Public,30 years old
Hetero Drugs,3.9,2.9k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Deutsche Bank,4.1,2.9k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Macleods Pharmaceuticals,3.8,2.9k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Havells,4.1,2.9k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
CARS24,3.7,2.9k,Banking,50k-1 Lakh Employees,Public,31 years old
Team Lease,4.0,2.9k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Subros,4.0,2.8k,BPO,50k-1 Lakh Employees,Public,41 years old
Sodexo,4.1,2.8k,Telecom,50k-1 Lakh Employees,Public,17 years old
Abbott,4.2,2.8k,Internet,1 Lakh+ Employees,Public,30 years old
VE Commercial Vehicles,4.1,2.8k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Indian Oil Corporation,4.5,2.8k,Retail,1 Lakh+ Employees,NaN,NaN
Whitehat jr,3.5,2.8k,NBFC,1 Lakh+ Employees,NaN,NaN
Ford Motor,4.5,2.8k,Engineering & Construction,10k-50k Employees,Public,86 years old
Tata Capital,4.2,2.8k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Automatic Data Processing (ADP),4.1,2.8k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Bharat Electronics,4.2,2.8k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Cummins,4.4,2.7k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
ITC Infotech,3.7,2.8k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Access Healthcare,4.0,2.7k,Banking,1 Lakh+ Employees,Public,30 years old
R1 RCM,4.0,2.7k,Banking,1 Lakh+ Employees,Public,30 years old
American Express,4.3,2.7k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Alembic Pharmaceuticals,4.0,2.7k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Pidilite Industries,4.4,2.7k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Tata AIA Life Insurance,4.1,2.7k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
UnitedHealth,4.1,2.7k,Banking,50k-1 Lakh Employees,Public,31 years old
Hindalco Industries,4.3,2.7k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Alkem Laboratories,4.0,2.6k,BPO,50k-1 Lakh Employees,Public,41 years old
Aakash Educational Services,3.6,2.7k,Telecom,50k-1 Lakh Employees,Public,17 years old
Publicis Sapient,3.6,2.6k,Internet,1 Lakh+ Employees,Public,30 years old
Atos,3.8,2.6k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Utkarsh Small Finance Bank,4.0,2.6k,Retail,1 Lakh+ Employees,NaN,NaN
DCB Bank,3.9,2.6k,NBFC,1 Lakh+ Employees,NaN,NaN
Hindustan Coca Cola Beverages,4.3,2.6k,Engineering & Construction,10k-50k Employees,Public,86 years old
Indian Air Force,4.7,2.6k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Vishal Mega Mart,3.8,2.6k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Barclays,4.0,2.6k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Berger Paints,3.8,2.6k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Marpu Foundation,4.9,2.6k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Glenmark Pharmaceuticals,4.0,2.6k,Banking,1 Lakh+ Employees,Public,30 years old
Ipca Laboratories,4.0,2.5k,Banking,1 Lakh+ Employees,Public,30 years old
Jindal Steel and Power,4.0,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Bank of America,4.4,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Maersk,4.3,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
DTDC Express,3.9,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
24/7 Customer,3.6,2.5k,Banking,50k-1 Lakh Employees,Public,31 years old
Aarti Industries,4.2,2.5k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
ABB Group,4.1,2.5k,BPO,50k-1 Lakh Employees,Public,41 years old
Honda Motorcycle & Scooter,4.2,2.5k,Telecom,50k-1 Lakh Employees,Public,17 years old
Wipro Infotech,4.0,2.5k,Internet,1 Lakh+ Employees,Public,30 years old
Carelon Global Solutions,4.0,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Johnson Controls,3.7,2.5k,Retail,1 Lakh+ Employees,NaN,NaN
HDFC Ergo General Insurance,4.1,2.5k,NBFC,1 Lakh+ Employees,NaN,NaN
NatWest Group,4.0,2.5k,Engineering & Construction,10k-50k Employees,Public,86 years old
PolicyBazaar,3.5,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
CMS IT Services,3.2,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Cogent E Services,3.4,2.5k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
MRF Tyres,3.8,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
RBL Bank,3.8,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Reliance Nippon Life Insurance,3.9,2.5k,Banking,1 Lakh+ Employees,Public,30 years old
Paras Hospital,4.6,2.5k,Banking,1 Lakh+ Employees,Public,30 years old
Reliance Digital,4.2,2.5k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
PNB MetLife,3.5,2.4k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Jubilant Foods Works,3.9,2.4k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Escorts Kubota Limited,4.1,2.4k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
GeBBS Healthcare Solutions,3.7,2.4k,Banking,50k-1 Lakh Employees,Public,31 years old
Wipro Consumer Care & Lighting,3.9,2.4k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Ceat Tyres,4.1,2.4k,BPO,50k-1 Lakh Employees,Public,41 years old
Kotak Mahindara Life Insurance,3.9,2.4k,Telecom,50k-1 Lakh Employees,Public,17 years old
Dabur,3.9,2.4k,Internet,1 Lakh+ Employees,Public,30 years old
Axis Direct,3.9,2.4k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
JK Cement,4.2,2.4k,Retail,1 Lakh+ Employees,NaN,NaN
Conduent,3.6,2.4k,NBFC,1 Lakh+ Employees,NaN,NaN
InterGlobe Aviation,3.6,2.4k,Engineering & Construction,10k-50k Employees,Public,86 years old
Synechron,3.7,2.4k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Shoppers Stop,4.1,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Birlasoft,3.8,2.3k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
ACC,4.0,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Lenskart,3.3,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
HARMAN,3.9,2.3k,Banking,1 Lakh+ Employees,Public,30 years old
ArcelorMittal Nippon Steel,4.1,2.3k,Banking,1 Lakh+ Employees,Public,30 years old
Reliance SMSL,4.0,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
GATI-KWE,4.0,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Indiabulls Home Loans,3.9,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
KPIT Technologies,3.6,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
PepsiCo,4.2,2.3k,Banking,50k-1 Lakh Employees,Public,31 years old
UPL,4.2,2.3k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
S&P Global,4.2,2.3k,BPO,50k-1 Lakh Employees,Public,41 years old
Torrent Pharmaceuticals,4.0,2.3k,Telecom,50k-1 Lakh Employees,Public,17 years old
Dilip Buildcon,4.1,2.2k,Internet,1 Lakh+ Employees,Public,30 years old
RSPL Group,4.2,2.3k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Tech Mahindra Business Services,3.5,2.3k,Retail,1 Lakh+ Employees,NaN,NaN
Square Yards,3.9,2.2k,NBFC,1 Lakh+ Employees,NaN,NaN
Titan Company,4.4,2.2k,Engineering & Construction,10k-50k Employees,Public,86 years old
Wipro Enterprises Ltd,3.9,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
TVS Credit,4.5,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Tata AIG,4.2,2.2k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
EY Global Delivery Services ( EY GDS),3.7,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
IDFC FIRST Bharat,4.6,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Aditya Birla Sun Life Insurance,4.2,2.2k,Banking,1 Lakh+ Employees,Public,30 years old
Bajaj Electricals,4.1,2.2k,Banking,1 Lakh+ Employees,Public,30 years old
Alstom Transportation,3.9,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Statestreet HCL Services,3.3,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
IGT Solutions,3.4,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Afcons Infrastructure,4.4,2.2k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Apollo Tyres,4.1,2.2k,Banking,50k-1 Lakh Employees,Public,31 years old
Mankind Pharma,4.1,2.2k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Simplex Infrastructures,3.3,2.1k,BPO,50k-1 Lakh Employees,Public,41 years old
Domino's Pizza,4.0,2.1k,Telecom,50k-1 Lakh Employees,Public,17 years old
Suzlon Group,4.2,2.1k,Internet,1 Lakh+ Employees,Public,30 years old
Capita,3.8,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Zensar Technologies,3.8,2.1k,Retail,1 Lakh+ Employees,NaN,NaN
Flex,4.2,2.1k,NBFC,1 Lakh+ Employees,NaN,NaN
State Street Corporation,3.8,2.1k,Engineering & Construction,10k-50k Employees,Public,86 years old
Max Healthcare,4.1,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
KocharTech,4.1,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Huawei Technologies,4.0,2.1k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Bajaj Allianz General Insurance,4.0,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Tata Technologies,3.8,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Croma,4.1,2.1k,Banking,1 Lakh+ Employees,Public,30 years old
I Process Services,3.9,2.1k,Banking,1 Lakh+ Employees,Public,30 years old
McDonald's,4.2,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Taj Hotels Resorts and Palaces,4.2,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Grasim Industries,4.1,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
HDFC Sales,4.1,2.1k,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Nestle,4.2,2.1k,Banking,50k-1 Lakh Employees,Public,31 years old
ElasticRun,3.4,2.1k,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
UNO Minda,4.1,2k,BPO,50k-1 Lakh Employees,Public,41 years old
Landmark Group,4.0,2.1k,Telecom,50k-1 Lakh Employees,Public,17 years old
Walmart,4.0,2k,Internet,1 Lakh+ Employees,Public,30 years old
AGS Health,4.0,2k,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Lava International,4.1,2k,Retail,1 Lakh+ Employees,NaN,NaN
Nokia,4.2,2k,NBFC,1 Lakh+ Employees,NaN,NaN
Blue Dart Express,4.1,2k,Engineering & Construction,10k-50k Employees,Public,86 years old
Patanjali Ayurved,4.1,2k,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Tractors and Farm Equipment,4.1,2k,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
G4S,4.1,2k,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Fortis Healthcare,4.1,2k,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Capgemini Engineering,3.7,2k,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Societe Generale,3.9,2k,Banking,1 Lakh+ Employees,Public,30 years old
State Street Syntel,3.7,2k,Banking,1 Lakh+ Employees,Public,30 years old
BlackBuck,3.9,2k,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
