Name,Rating,Reviews,Type,Employe,Sector,Old
Grupo Antolin,3.7,222,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Inlead Electronics,3.9,222,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Tablets (India),4.1,221,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
TCI Supply Chain Solutions,4.2,221,Banking,1 Lakh+ Employees,Public,30 years old
VSoft Technologies,3.7,221,Banking,1 Lakh+ Employees,Public,30 years old
CG Foods,3.7,221,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Weblink In,3.8,221,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Cashpor Micro Credit,3.7,220,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Connectwise India,3.9,224,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Festo,3.9,223,Banking,50k-1 Lakh Employees,Public,31 years old
MTR Foods,4.2,221,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Kimberly-Clark,4.2,221,BPO,50k-1 Lakh Employees,Public,41 years old
Koyo Bearings India,4.1,221,Telecom,50k-1 Lakh Employees,Public,17 years old
Entab Infotech,3.2,221,Internet,1 Lakh+ Employees,Public,30 years old
Aegon Life Insurance,3.8,221,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Banswara Syntex,4.1,220,Retail,1 Lakh+ Employees,NaN,NaN
SBI Capital Markets,4.0,220,NBFC,1 Lakh+ Employees,NaN,NaN
Network 18,3.6,220,Engineering & Construction,10k-50k Employees,Public,86 years old
Munjal Auto Industries,3.8,220,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Dr.SNS Rajalakshmi College Of Arts and Science,5.0,220,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Rolta India,2.7,219,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Jade Global,3.7,224,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Odessa,3.5,222,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Cargo Motors,3.8,222,Banking,1 Lakh+ Employees,Public,30 years old
Western Union,4.1,221,Banking,1 Lakh+ Employees,Public,30 years old
Leap Finance,4.2,221,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
KSB Limited - Irrigation & Process Division (IPD),4.0,221,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Saregama India,4.0,220,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
